Symbol,Last,ChgPct,Volume,Session,SessionDate,Direction,Name
JAZZ,256.5,1.96,1333109,headline,2026-08-04,up,Jazz Pharmaceuticals plc
BWXT,169.89,-2.24,972823,headline,2026-08-04,down,"BWX Technologies, Inc."
CLX,98.63,0.37,3259821,headline,2026-08-04,up,The Clorox Company
AEIS,326.0,9.99,1117274,headline,2026-08-04,up,"Advanced Energy Industries, Inc."
CMI,602.0,-7.22,974323,headline,2026-08-04,down,Cummins Inc.
GWW,1300.0,-5.2,281842,headline,2026-08-04,down,"W.W. Grainger, Inc."
AME,257.0,5.43,1341766,headline,2026-08-04,up,"AMETEK, Inc."
ROK,459.86,-4.39,1429497,headline,2026-08-04,down,"Rockwell Automation, Inc."
IDXX,591.0,4.08,1207199,headline,2026-08-04,up,"IDEXX Laboratories, Inc."
ADM,80.52,3.15,3185269,headline,2026-08-04,up,Archer-Daniels-Midland Company
TDG,1325.0,3.07,625882,headline,2026-08-04,up,Transdigm Group Incorporated
Q,143.0,7.28,2635921,headline,2026-08-04,up,"Qnity Electronics, Inc."
FIS,41.73,-6.81,7766181,headline,2026-08-04,down,Fidelity National Information S
DD,134.0,-5.15,1449416,headline,2026-08-04,down,"DuPont de Nemours, Inc."
ENTG,134.67,7.56,2992467,headline,2026-08-04,up,"Entegris, Inc."
ZBRA,320.66,9.95,1299982,headline,2026-08-04,up,Zebra Technologies Corporation
LDOS,125.0,5.29,1836446,headline,2026-08-04,up,"Leidos Holdings, Inc."
RVTY,111.0,-3.66,2063718,headline,2026-08-04,down,"Revvity, Inc."
AMAT,545.0,5.17,5952350,headline,2026-08-04,up,"Applied Materials, Inc."
ASML,1690.45,2.92,1417903,headline,2026-08-04,up,ASML Holding N.V. - New York Re
DELL,445.24,3.78,4051621,headline,2026-08-04,up,Dell Technologies Inc.
AMZN,277.4,-2.33,86041006,headline,2026-08-04,down,"Amazon.com, Inc."
MRK,128.9,0.88,10823736,headline,2026-08-04,up,"Merck & Company, Inc."
PFE,25.0,-0.12,40352356,headline,2026-08-04,down,"Pfizer, Inc."
BMY,65.38,0.11,24636623,headline,2026-08-04,up,Bristol-Myers Squibb Company
APTV,53.25,-6.95,0,headline,2026-08-04,down,Aptiv PLC
ENLT,89.73,8.5,0,headline,2026-08-04,up,Enlight Renewable Energy Ltd.
IT,163.44,7.86,0,headline,2026-08-04,up,"Gartner, Inc."
CCEP,105.52,-2.47,0,headline,2026-08-04,down,Coca-Cola Europacific Partners plc
PNW,98.3,-2.49,0,headline,2026-08-04,down,Pinnacle West Capital Corporation
BNTX,89.98,-2.47,0,headline,2026-08-04,down,BioNTech SE
LSCC,136.0,6.94,0,headline,2026-08-04,up,Lattice Semiconductor Corporation
