Symbol,Last,ChgPct,Volume,Session,SessionDate,Direction,Name
AEVA,25.29,28.98,216235,pre,2026-08-06,up,Aeva Technologies Inc
AEVA,23.19,18.26,201135,post,2026-08-05,up,Aeva Technologies Inc
AMIX,13.4,10.74,543485,pre,2026-08-06,up,Autonomix Medical Inc
APP,340.5,-18.5,490477,pre,2026-08-06,down,Applovin Corp Cl A
APP,351.51,-15.87,2573738,post,2026-08-05,down,Applovin Corp Cl A
ARQT,29.74,9.74,243127,post,2026-08-05,up,Arcutis Biotherapeutics Inc
ASPN,6.39,27.54,340728,pre,2026-08-06,up,Aspen Aerogels Inc
AXON,577.22,-5.29,120578,post,2026-08-05,down,Axon Enterprise
BLLN,107.8,-28.12,137359,post,2026-08-05,down,Billiontoone Inc Cl A
BMBL,2.9,-4.61,278488,post,2026-08-05,down,Bumble Inc
BROS,58.55,-10.84,473959,post,2026-08-05,down,Dutch Bros Inc Cl A
CAI,18.74,13.92,570951,post,2026-08-05,up,Caris Life Sciences Inc
CDE,16.48,-5.45,200111,pre,2026-08-06,down,Coeur Mining Inc
CELH,24.6,-15.62,2506672,pre,2026-08-06,down,Celsius Holdings Inc
CF,109.32,-6.33,279610,post,2026-08-05,down,Cf Industries Holdings
CHYM,27.9,7.64,814969,pre,2026-08-06,up,Chime Financial Inc Cl A
CHYM,27.6,6.48,737039,post,2026-08-05,up,Chime Financial Inc Cl A
CLOV,4.68,13.04,174200,pre,2026-08-06,up,Clover Health Investments Corp
CLOV,4.53,9.35,720628,post,2026-08-05,up,Clover Health Investments Corp
CLRO,10.24,178.26,23239986,pre,2026-08-06,up,Clearone Inc
CLRO,7.3,98.37,8527147,post,2026-08-05,up,Clearone Inc
CLS,311,-14.27,605703,pre,2026-08-06,down,Celestica Inc
CLS,318.99,-12.07,507441,post,2026-08-05,down,Celestica Inc
CMRC,2.23,-34.6,143626,pre,2026-08-06,down,Commerce.com Inc
CRM,183.5,-4.91,111112,pre,2026-08-06,down,Salesforce Inc
CRM,183.15,-5.09,1546991,post,2026-08-05,down,Salesforce Inc
